depvar,term,estimate,se,conf.low,conf.high
1,Restrictive,4.3026,1.6571,1.054684,7.550516
1,Disengaged,10.6966,2.3257,6.138228,15.254972
1,Moderate,4.2042,1.6542,0.961968,7.446432
2,Restrictive,3.4239,1.6165,0.25556,6.59224
2,Disengaged,12.0813,2.1159,7.934136,16.228464
2,Moderate,1.8751,1.6122,-1.284812,5.035012
3,Restrictive,0.2815,1.7042,-3.058732,3.621732
3,Disengaged,2.5791,2.427,-2.17782,7.33602
3,Moderate,-2.7777,1.6818,-6.074028,0.518628
4,Restrictive,1.4955,1.6833,-1.803768,4.794768
4,Disengaged,-1.7786,2.4857,-6.650572,3.093372
4,Moderate,-0.1443,1.6927,-3.461992,3.173392
