variable,outcome,Cluster1,Cluster2,Cluster3,Cluster4
natident1,1,0.6131,0.5659,0.2644,0.7505
natident1,2,0.3163,0.3411,0.3817,0.2238
natident1,3,0.0516,0.065,0.1743,0.0211
natident1,4,0.019,0.028,0.1797,0.0045
natident1,5,0,0,0,0
natmembr1,1,0.4165,0.9616,0.1434,0.9617
natmembr1,2,0.4336,0.0381,0.3776,0.038
natmembr1,3,0.1282,0.0003,0.3127,0.0003
natmembr1,4,0.0218,0,0.1663,0
natmembr1,5,0,0,0,0
natmembr2,1,0.4693,0.9688,0.1477,0.9739
natmembr2,2,0.4497,0.0311,0.4658,0.026
natmembr2,3,0.0719,0.0001,0.2677,0.0001
natmembr2,4,0.0091,0,0.1188,0
natmembr2,5,0,0,0,0
natmembr3,1,0.3151,0.937,0.0999,0.9534
natmembr3,2,0.4886,0.0621,0.397,0.0461
natmembr3,3,0.1673,0.0009,0.3483,0.0005
natmembr3,4,0.029,0,0.1548,0
natmembr3,5,0,0,0,0
natmembr4,1,0.4115,0.9721,0.1256,0.9705
natmembr4,2,0.4763,0.0278,0.4451,0.0293
natmembr4,3,0.0938,0.0001,0.2684,0.0002
natmembr4,4,0.0184,0,0.1608,0
natmembr4,5,0,0,0,0
natmembr5,1,0.5833,0.9529,0.2566,0.9985
natmembr5,2,0.3235,0.0462,0.3695,0.0015
natmembr5,3,0.0726,0.0009,0.2154,0
natmembr5,4,0.0206,0,0.1585,0
natmembr5,5,0,0,0,0
natmembr6,1,0.4424,0.85,0.1382,0.9497
natmembr6,2,0.4392,0.1442,0.4168,0.0497
natmembr6,3,0.1007,0.0056,0.2902,0.0006
natmembr6,4,0.0177,0.0002,0.1547,0
natmembr6,5,0,0,0,0
natmembr7,1,0.3465,0.9878,0.1808,0.9885
natmembr7,2,0.3647,0.0121,0.2977,0.0114
natmembr7,3,0.2068,0.0001,0.3008,0.0001
natmembr7,4,0.082,0,0.2207,0
natmembr7,5,0,0,0,0
natmembr8,1,0.3893,0.9805,0.112,0.9731
natmembr8,2,0.4407,0.0194,0.353,0.0268
natmembr8,3,0.1317,0.0001,0.2954,0.0001
natmembr8,4,0.0383,0,0.2396,0
natmembr8,5,0,0,0,0
nathubrs1,1,0.4659,0.4961,0.2229,0.5498
nathubrs1,2,0.3144,0.3112,0.2637,0.3006
nathubrs1,3,0.107,0.0984,0.1573,0.0829
nathubrs1,4,0.0787,0.0673,0.2028,0.0494
nathubrs1,5,0.034,0.027,0.1534,0.0173
nathubrs2,1,0.0658,0.165,0.2212,0.1064
nathubrs2,2,0.1625,0.2657,0.3,0.2134
nathubrs2,3,0.206,0.2194,0.2087,0.2196
nathubrs2,4,0.3894,0.2702,0.2164,0.3368
nathubrs2,5,0.1763,0.0797,0.0537,0.1237
nathubrs3,1,0.31,0.2443,0.0549,0.4573
nathubrs3,2,0.3689,0.3522,0.1775,0.361
nathubrs3,3,0.2098,0.2426,0.2743,0.1361
nathubrs3,4,0.0954,0.1337,0.3389,0.0411
nathubrs3,5,0.016,0.0272,0.1545,0.0046
nathubrs4,1,0.3804,0.3435,0.1057,0.5809
nathubrs4,2,0.4094,0.4122,0.2921,0.3375
nathubrs4,3,0.1564,0.1756,0.2865,0.0696
nathubrs4,4,0.0454,0.0568,0.2134,0.0109
nathubrs4,5,0.0085,0.0118,0.1023,0.0011
nathubrs5,1,0.3593,0.3386,0.114,0.5034
nathubrs5,2,0.3271,0.3247,0.2119,0.3173
nathubrs5,3,0.1812,0.1894,0.2397,0.1217
nathubrs5,4,0.105,0.1156,0.2837,0.0488
nathubrs5,5,0.0273,0.0317,0.1508,0.0088
natpride1,1,0.2489,0.0999,0.036,0.6305
natpride1,2,0.4586,0.3263,0.1847,0.3347
natpride1,3,0.2178,0.3234,0.3372,0.0333
natpride1,4,0.0747,0.2504,0.4421,0.0015
natpride1,5,0,0,0,0
natpride2,1,0.2815,0.1065,0.032,0.6358
natpride2,2,0.4886,0.3687,0.2007,0.3408
natpride2,3,0.1784,0.3158,0.3455,0.0227
natpride2,4,0.0516,0.209,0.4218,0.0008
natpride2,5,0,0,0,0
natpride3,1,0.3039,0.1248,0.0458,0.7973
natpride3,2,0.4735,0.3712,0.2243,0.1945
natpride3,3,0.1721,0.3039,0.3508,0.008
natpride3,4,0.0505,0.2,0.379,0.0002
natpride3,5,0,0,0,0
natpride4,1,0.2925,0.115,0.0283,0.7667
natpride4,2,0.498,0.3949,0.2028,0.2245
natpride4,3,0.1683,0.3156,0.3581,0.0086
natpride4,4,0.0412,0.1745,0.4108,0.0002
natpride4,5,0,0,0,0
natpride5,1,0.4094,0.1515,0.0285,0.9313
natpride5,2,0.4844,0.489,0.2463,0.0679
natpride5,3,0.0921,0.2537,0.3423,0.0008
natpride5,4,0.0141,0.1059,0.383,0
natpride5,5,0,0,0,0
natpride6,1,0.441,0.229,0.0558,0.9433
natpride6,2,0.4848,0.545,0.3489,0.0564
natpride6,3,0.0658,0.1725,0.317,0.0003
natpride6,4,0.0084,0.0535,0.2783,0
natpride6,5,0,0,0,0
natpride7,1,0.4182,0.2378,0.0731,0.8235
natpride7,2,0.4778,0.5044,0.333,0.1723
natpride7,3,0.0878,0.1836,0.2929,0.0041
natpride7,4,0.0162,0.0743,0.301,0.0001
natpride7,5,0,0,0,0
natpride8,1,0.573,0.3895,0.1198,0.9543
natpride8,2,0.3631,0.4332,0.3252,0.0453
natpride8,3,0.0525,0.1215,0.2442,0.0004
natpride8,4,0.0113,0.0558,0.3107,0
natpride8,5,0,0,0,0
natpride9,1,0.6554,0.4612,0.1914,0.973
natpride9,2,0.2981,0.3908,0.3488,0.0269
natpride9,3,0.0383,0.1019,0.2234,0.0002
natpride9,4,0.0081,0.0462,0.2364,0
natpride9,5,0,0,0,0
natpride10,1,0.2751,0.0994,0.0256,0.7698
natpride10,2,0.4663,0.3547,0.1805,0.2152
natpride10,3,0.184,0.2946,0.2959,0.014
natpride10,4,0.0745,0.2512,0.4979,0.0009
natpride10,5,0,0,0,0
